,fd,fs,pmp
357,0.15000000000000002,0.54,0.16914122470051698
358,0.15000000000000002,0.55,0.16895215375670872
359,0.15000000000000002,0.56,0.16869599204379174
360,0.15000000000000002,0.5700000000000001,0.16829707145695136
361,0.15000000000000002,0.58,0.16734556047208657
362,0.15000000000000002,0.59,0.16567305094780588
363,0.15000000000000002,0.6,0.16557189517400192
364,0.15000000000000002,0.61,0.16545433035269277
365,0.15000000000000002,0.62,0.16531410282142692
366,0.15000000000000002,0.63,0.16514013913045106
367,0.15000000000000002,0.64,0.16491113272669775
368,0.15000000000000002,0.65,0.16457496716003653
369,0.15000000000000002,0.66,0.16393137525731816
370,0.15000000000000002,0.67,0.16194801677683576
371,0.15000000000000002,0.68,0.1618521594474657
372,0.15000000000000002,0.6900000000000001,0.16174161523487227
373,0.15000000000000002,0.7000000000000001,0.16161101968433192
374,0.15000000000000002,0.71,0.1614514703016135
375,0.15000000000000002,0.72,0.1612464123949927
376,0.15000000000000002,0.73,0.16095891067132045
377,0.15000000000000002,0.74,0.16047439350439988
378,0.15000000000000002,0.75,0.15832691583096115
379,0.15000000000000002,0.76,0.15823591766470962
380,0.15000000000000002,0.77,0.1581316344235918
381,0.15000000000000002,0.78,0.15800955581164913
382,0.15000000000000002,0.79,0.1578623557116251
383,0.15000000000000002,0.8,0.1576769212941359
384,0.15000000000000002,0.81,0.15742616118972977
385,0.15000000000000002,0.8200000000000001,0.1570373399418374
386,0.15000000000000002,0.8300000000000001,0.1561266733907593
387,0.15000000000000002,0.84,0.15472193688660696
388,0.15000000000000002,0.85,0.15462248514379487
389,0.15000000000000002,0.86,0.15450699564280962
390,0.15000000000000002,0.87,0.15436925114687639
391,0.15000000000000002,0.88,0.15419990949349582
392,0.15000000000000002,0.89,0.1539778422996027
393,0.15000000000000002,0.9,0.15365341930684548
394,0.15000000000000002,0.91,0.15304090898270006
395,0.15000000000000002,0.92,0.15133089926727852
396,0.15000000000000002,0.93,0.15123657654836223
397,0.15000000000000002,0.9400000000000001,0.1511366728239591
398,0.15000000000000002,0.9500000000000001,0.15100736224623215
399,0.15000000000000002,0.96,0.15085001912481072
400,0.15000000000000002,0.97,0.15065180003540082
401,0.15000000000000002,0.98,0.1503721018240609
402,0.15000000000000002,0.99,0.14990292871873154
403,0.15000000000000002,1.0,0.14802796582890082
404,0.2,0.0,1.0
405,0.2,0.01,0.9767808322241198
406,0.2,0.02,0.9117175602464739
407,0.2,0.03,0.8270459148091187
408,0.2,0.04,0.7320860851591702
409,0.2,0.05,0.6300919810002695
410,0.2,0.06,0.5226426529541799
411,0.2,0.07,0.41062065361683503
412,0.2,0.08,0.29455268736229867
413,0.2,0.09,0.25493095597391163
414,0.2,0.1,0.25479110536810795
415,0.2,0.11,0.25462850333873865
416,0.2,0.12,0.25443405491204457
417,0.2,0.13,0.25419251765920997
418,0.2,0.14,0.2538732053042574
419,0.2,0.15,0.25340128280022434
420,0.2,0.16,0.25247758025105455
421,0.2,0.17,0.24824406309017402
422,0.2,0.18,0.24811135970143372
423,0.2,0.19,0.24795815797073872
424,0.2,0.2,0.24777692782302863
425,0.2,0.21,0.24755512706390465
426,0.2,0.22,0.24726921825520404
427,0.2,0.23,0.24686620726770464
428,0.2,0.24,0.24617774174130477
429,0.2,0.25,0.2422624586240619
430,0.2,0.26,0.2421362099771372
431,0.2,0.27,0.24199145402535385
432,0.2,0.28,0.24182183955137385
433,0.2,0.29,0.2416170029504048
434,0.2,0.3,0.24135830015864063
435,0.2,0.31,0.2410069474646444
436,0.2,0.32,0.24045715171386767
437,0.2,0.33,0.2391157546862936
438,0.2,0.34,0.23657048782038032
439,0.2,0.35000000000000003,0.23643348309509266
440,0.2,0.36,0.23627412829363895
441,0.2,0.37,0.2360839607923108
442,0.2,0.38,0.23584790637506092
443,0.2,0.39,0.23553683073614123
444,0.2,0.4,0.23507923806081507
445,0.2,0.41000000000000003,0.23419775658444356
446,0.2,0.42,0.23130577011528805
447,0.2,0.43,0.23117565868897644
448,0.2,0.44,0.2310256277771304
449,0.2,0.45,0.2308482372407539
450,0.2,0.46,0.2306314415453043
451,0.2,0.47000000000000003,0.23035248048915094
452,0.2,0.48,0.22996089721849386
453,0.2,0.49,0.2292984382980631
454,0.2,0.5,0.22628274786213992
455,0.2,0.51,0.2261590300428104
456,0.2,0.52,0.2260171579570925
457,0.2,0.53,0.22585111632749374
458,0.2,0.54,0.2256508121614245
459,0.2,0.55,0.2253982443904745
460,0.2,0.56,0.22505635174711613
461,0.2,0.5700000000000001,0.22452483170902657
462,0.2,0.58,0.22326735599504002
463,0.2,0.59,0.2213452249975347
464,0.2,0.6,0.2212109423357471
465,0.2,0.61,0.22105491357950727
466,0.2,0.62,0.22086888474172475
467,0.2,0.63,0.22063835991284983
468,0.2,0.64,0.22033518224844914
469,0.2,0.65,0.21989157394081932
470,0.2,0.66,0.2190496974266024
471,0.2,0.67,0.21670717623752364
472,0.2,0.68,0.21657963981505948
473,0.2,0.6900000000000001,0.21643265291571773
474,0.2,0.7000000000000001,0.2162591005860537
475,0.2,0.71,0.21604720782424838
476,0.2,0.72,0.2157751829611313
477,0.2,0.73,0.2153947360475226
478,0.2,0.74,0.21475704871470233
479,0.2,0.75,0.21222477684710223
480,0.2,0.76,0.21210349796076086
481,0.2,0.77,0.2119645849940448
482,0.2,0.78,0.2118020866398809
483,0.2,0.79,0.2116061629375035
484,0.2,0.8,0.21135968454573714
485,0.2,0.81,0.21102697275920973
486,0.2,0.8200000000000001,0.21051314127849197
487,0.2,0.8300000000000001,0.2093312407341122
488,0.2,0.84,0.20776720340468627
489,0.2,0.85,0.20763561246961829
490,0.2,0.86,0.20748289509565515
491,0.2,0.87,0.20730091000482956
492,0.2,0.88,0.20707580228977052
493,0.2,0.89,0.20678049897543294
494,0.2,0.9,0.20635030606931934
495,0.2,0.91,0.20554572308529587
496,0.2,0.92,0.20355675913941434
497,0.2,0.93,0.20343144283366715
498,0.2,0.9400000000000001,0.20328392949391322
499,0.2,0.9500000000000001,0.20311871552810037
500,0.2,0.96,0.20291001833856104
501,0.2,0.97,0.20264670673808044
502,0.2,0.98,0.20227615278817782
503,0.2,0.99,0.20166374686814081
504,0.2,1.0,0.1994645518207888
505,0.25,0.0,1.0
506,0.25,0.01,0.9796717956117043
507,0.25,0.02,0.9212527350016037
508,0.25,0.03,0.8438690550338546
509,0.25,0.04,0.7565667962979028
510,0.25,0.05,0.662601716934455
