UTC,observed_power
2018-01-14T12:00:00,-8.68873E-06
2018-01-14T12:01:00,-8.69318E-06
2018-01-14T12:02:00,-8.69762E-06
2018-01-14T12:03:00,-8.70207E-06
2018-01-14T12:04:00,-8.70651E-06
2018-01-14T12:05:00,-8.71096E-06
2018-01-14T12:06:00,-8.7154E-06
2018-01-14T12:07:00,-8.71985E-06
2018-01-14T12:08:00,-8.72429E-06
2018-01-14T12:09:00,-8.72874E-06
2018-01-14T12:10:00,-8.73318E-06
2018-01-14T12:11:00,-8.73763E-06
2018-01-14T12:12:00,-8.74207E-06
2018-01-14T12:13:00,-8.74651E-06
2018-01-14T12:14:00,-8.75096E-06
2018-01-14T12:15:00,-8.7554E-06
2018-01-14T12:16:00,-8.75985E-06
2018-01-14T12:17:00,-8.76429E-06
2018-01-14T12:18:00,-8.76874E-06
2018-01-14T12:19:00,-8.77318E-06
2018-01-14T12:20:00,-8.77763E-06
2018-01-14T12:21:00,-8.78207E-06
2018-01-14T12:22:00,-8.78652E-06
2018-01-14T12:23:00,-8.79096E-06
2018-01-14T12:24:00,-8.79541E-06
2018-01-14T12:25:00,-8.79985E-06
2018-01-14T12:26:00,-8.80429E-06
2018-01-14T12:27:00,-8.80874E-06
2018-01-14T12:28:00,-8.81318E-06
2018-01-14T12:29:00,-8.81763E-06
2018-01-14T12:30:00,-8.82207E-06
2018-01-14T12:31:00,-8.82652E-06
2018-01-14T12:32:00,-8.83096E-06
2018-01-14T12:33:00,-8.83541E-06
2018-01-14T12:34:00,-8.83985E-06
2018-01-14T12:35:00,-8.8443E-06
2018-01-14T12:36:00,-8.84874E-06
2018-01-14T12:37:00,-8.85319E-06
2018-01-14T12:38:00,-8.85763E-06
2018-01-14T12:39:00,-8.86208E-06
2018-01-14T12:40:00,-8.86652E-06
2018-01-14T12:41:00,-8.87096E-06
2018-01-14T12:42:00,-8.87541E-06
2018-01-14T12:43:00,-8.87985E-06
2018-01-14T12:44:00,-8.8843E-06
2018-01-14T12:45:00,-8.88874E-06
2018-01-14T12:46:00,-8.89319E-06
2018-01-14T12:47:00,-8.89763E-06
2018-01-14T12:48:00,-8.90208E-06
2018-01-14T12:49:00,0.001297203
2018-01-14T12:50:00,0.014476021
2018-01-14T12:51:00,0.016399239
2018-01-14T12:52:00,0.018751671
2018-01-14T12:53:00,0.021564003
2018-01-14T12:54:00,0.024814194
2018-01-14T12:55:00,0.028421359
2018-01-14T12:56:00,0.032234497
