local_time,observed_power
2021-12-14T08:36:00,0.46664108
2021-12-14T08:37:00,0.472963266
2021-12-14T08:38:00,0.479285452
2021-12-14T08:39:00,0.485607637
2021-12-14T08:40:00,0.491929823
2021-12-14T08:41:00,0.497153614
2021-12-14T08:42:00,0.501277399
2021-12-14T08:43:00,0.505401183
2021-12-14T08:44:00,0.509524968
2021-12-14T08:45:00,0.513648752
2021-12-14T08:46:00,0.517772537
2021-12-14T08:47:00,0.521543568
2021-12-14T08:48:00,0.52496135
2021-12-14T08:49:00,0.528379133
2021-12-14T08:50:00,0.531796915
2021-12-14T08:51:00,0.535214698
2021-12-14T08:52:00,0.53863248
2021-12-14T08:53:00,0.54196605
2021-12-14T08:54:00,0.545215307
2021-12-14T08:55:00,0.548464564
2021-12-14T08:56:00,0.551713821
2021-12-14T08:57:00,0.554963078
2021-12-14T08:58:00,0.558212335
2021-12-14T08:59:00,0.561285234
2021-12-14T09:00:00,0.56418154
2021-12-14T09:01:00,0.567077845
2021-12-14T09:02:00,0.569974151
2021-12-14T09:03:00,0.572870456
2021-12-14T09:04:00,0.575766762
2021-12-14T09:05:00,0.578586826
2021-12-14T09:06:00,0.581330573
2021-12-14T09:07:00,0.584074319
2021-12-14T09:08:00,0.586818066
2021-12-14T09:09:00,0.589561813
2021-12-14T09:10:00,0.592305559
2021-12-14T09:11:00,0.59478082
2021-12-14T09:12:00,0.596987112
2021-12-14T09:13:00,0.599193404
2021-12-14T09:14:00,0.601399696
2021-12-14T09:15:00,0.603605988
2021-12-14T09:16:00,0.605812279
2021-12-14T09:17:00,0.608379353
2021-12-14T09:18:00,0.611307883
2021-12-14T09:19:00,0.614236412
2021-12-14T09:20:00,0.617164942
2021-12-14T09:21:00,0.620093472
2021-12-14T09:22:00,0.623022002
2021-12-14T09:23:00,0.625717804
2021-12-14T09:24:00,0.628180769
2021-12-14T09:25:00,0.630643734
2021-12-14T09:26:00,0.633106699
2021-12-14T09:27:00,0.635569664
2021-12-14T09:28:00,0.638032629
2021-12-14T09:29:00,0.640399415
2021-12-14T09:30:00,0.642669919
2021-12-14T09:31:00,0.644940423
2021-12-14T09:32:00,0.647210927
2021-12-14T09:33:00,0.649481431
2021-12-14T09:34:00,0.651751935
2021-12-14T09:35:00,0.654142709
2021-12-14T09:36:00,0.656653857
2021-12-14T09:37:00,0.659165005
2021-12-14T09:38:00,0.661676153
2021-12-14T09:39:00,0.664187301
2021-12-14T09:40:00,0.66669845
2021-12-14T09:41:00,0.669053253
2021-12-14T09:42:00,0.671251554
2021-12-14T09:43:00,0.673449855
2021-12-14T09:44:00,0.675648157
2021-12-14T09:45:00,0.677846458
2021-12-14T09:46:00,0.68004476
2021-12-14T09:47:00,0.682235005
2021-12-14T09:48:00,0.684417187
2021-12-14T09:49:00,0.68659937
2021-12-14T09:50:00,0.688781553
2021-12-14T09:51:00,0.690963736
2021-12-14T09:52:00,0.693145918
2021-12-14T09:53:00,0.69521185
2021-12-14T09:54:00,0.697161392
2021-12-14T09:55:00,0.699110934
2021-12-14T09:56:00,0.701060476
2021-12-14T09:57:00,0.703010018
2021-12-14T09:58:00,0.70495956
2021-12-14T09:59:00,0.706820967
2021-12-14T10:00:00,0.708594105
2021-12-14T10:01:00,0.710367243
2021-12-14T10:02:00,0.712140381
2021-12-14T10:03:00,0.713913519
2021-12-14T10:04:00,0.715686657
2021-12-14T10:05:00,0.71723917
2021-12-14T10:06:00,0.718570955
2021-12-14T10:07:00,0.71990274
2021-12-14T10:08:00,0.721234525
2021-12-14T10:09:00,0.72256631
2021-12-14T10:10:00,0.723898095
2021-12-14T10:11:00,0.725482487
2021-12-14T10:12:00,0.727319672
2021-12-14T10:13:00,0.729156857
2021-12-14T10:14:00,0.730994042
2021-12-14T10:15:00,0.732831227
2021-12-14T10:16:00,0.734668412
2021-12-14T10:17:00,0.736269135
2021-12-14T10:18:00,0.737633032
2021-12-14T10:19:00,0.738996929
2021-12-14T10:20:00,0.740360826
2021-12-14T10:21:00,0.741724723
2021-12-14T10:22:00,0.74308862
2021-12-14T10:23:00,0.744396372
2021-12-14T10:24:00,0.745647898
2021-12-14T10:25:00,0.746899423
2021-12-14T10:26:00,0.748150949
2021-12-14T10:27:00,0.749402474
2021-12-14T10:28:00,0.750653999
2021-12-14T10:29:00,0.751965701
2021-12-14T10:30:00,0.753337721
2021-12-14T10:31:00,0.75470974
2021-12-14T10:32:00,0.756081759
2021-12-14T10:33:00,0.757453778
2021-12-14T10:34:00,0.758825797
2021-12-14T10:35:00,0.7600133
2021-12-14T10:36:00,0.761016163
2021-12-14T10:37:00,0.762019025
2021-12-14T10:38:00,0.763021888
2021-12-14T10:39:00,0.764024751
2021-12-14T10:40:00,0.765027613
2021-12-14T10:41:00,0.766170832
2021-12-14T10:42:00,0.767454499
2021-12-14T10:43:00,0.768738167
2021-12-14T10:44:00,0.770021835
2021-12-14T10:45:00,0.771305503
2021-12-14T10:46:00,0.772589171
2021-12-14T10:47:00,0.773560019
2021-12-14T10:48:00,0.77421786
2021-12-14T10:49:00,0.774875701
2021-12-14T10:50:00,0.775533542
2021-12-14T10:51:00,0.776191383
2021-12-14T10:52:00,0.776849224
2021-12-14T10:53:00,0.777354781
2021-12-14T10:54:00,0.77770778
2021-12-14T10:55:00,0.778060779
2021-12-14T10:56:00,0.778413778
2021-12-14T10:57:00,0.778766777
2021-12-14T10:58:00,0.779119776
2021-12-14T10:59:00,0.780081766
2021-12-14T11:00:00,0.781654291
2021-12-14T11:01:00,0.783226817
2021-12-14T11:02:00,0.784799343
2021-12-14T11:03:00,0.786371869
2021-12-14T11:04:00,0.787944395
2021-12-14T11:05:00,0.78921223
2021-12-14T11:06:00,0.790174783
2021-12-14T11:07:00,0.791137336
2021-12-14T11:08:00,0.792099889
2021-12-14T11:09:00,0.793062442
2021-12-14T11:10:00,0.794024995
2021-12-14T11:11:00,0.794563886
2021-12-14T11:12:00,0.794676228
2021-12-14T11:13:00,0.794788569
2021-12-14T11:14:00,0.79490091
2021-12-14T11:15:00,0.795013251
2021-12-14T11:16:00,0.795125592
2021-12-14T11:17:00,0.795510338
2021-12-14T11:18:00,0.79616827
2021-12-14T11:19:00,0.796826203
2021-12-14T11:20:00,0.797484135
2021-12-14T11:21:00,0.798142068
2021-12-14T11:22:00,0.7988
2021-12-14T11:23:00,0.79835925
2021-12-14T11:24:00,0.796819011
2021-12-14T11:25:00,0.795278772
2021-12-14T11:26:00,0.793738533
2021-12-14T11:27:00,0.792198294
2021-12-14T11:28:00,0.790658055
2021-12-14T11:29:00,0.790062965
2021-12-14T11:30:00,0.790415991
2021-12-14T11:31:00,0.790769017
2021-12-14T11:32:00,0.791122044
2021-12-14T11:33:00,0.79147507
2021-12-14T11:34:00,0.791828096
2021-12-14T11:35:00,0.791892574
2021-12-14T11:36:00,0.791667925
2021-12-14T11:37:00,0.791443276
2021-12-14T11:38:00,0.791218627
2021-12-14T11:39:00,0.790993978
2021-12-14T11:40:00,0.790769329
2021-12-14T11:41:00,0.790340264
2021-12-14T11:42:00,0.789706454
2021-12-14T11:43:00,0.789072645
2021-12-14T11:44:00,0.788438836
2021-12-14T11:45:00,0.787805026
2021-12-14T11:46:00,0.787171217
2021-12-14T11:47:00,0.786862067
2021-12-14T11:48:00,0.786878119
2021-12-14T11:49:00,0.786894171
2021-12-14T11:50:00,0.786910223
2021-12-14T11:51:00,0.786926274
2021-12-14T11:52:00,0.786942326
2021-12-14T11:53:00,0.787110698
