UTC,observed_power
2018-01-14T12:00:00,-7.62163E-06
2018-01-14T12:01:00,-7.62933E-06
2018-01-14T12:02:00,-7.63703E-06
2018-01-14T12:03:00,-7.64473E-06
2018-01-14T12:04:00,-7.65243E-06
2018-01-14T12:05:00,-7.66014E-06
2018-01-14T12:06:00,-7.66784E-06
2018-01-14T12:07:00,-7.67554E-06
2018-01-14T12:08:00,-7.68324E-06
2018-01-14T12:09:00,-7.69095E-06
2018-01-14T12:10:00,-7.69865E-06
2018-01-14T12:11:00,-7.70635E-06
2018-01-14T12:12:00,-7.71405E-06
2018-01-14T12:13:00,-7.72176E-06
2018-01-14T12:14:00,-7.72946E-06
2018-01-14T12:15:00,-7.73716E-06
2018-01-14T12:16:00,-7.74486E-06
2018-01-14T12:17:00,-7.75256E-06
2018-01-14T12:18:00,-7.76027E-06
2018-01-14T12:19:00,-7.76797E-06
2018-01-14T12:20:00,-7.77567E-06
2018-01-14T12:21:00,-7.78337E-06
2018-01-14T12:22:00,-7.78687E-06
2018-01-14T12:23:00,-7.75432E-06
2018-01-14T12:24:00,-7.71353E-06
2018-01-14T12:25:00,-7.67274E-06
2018-01-14T12:26:00,-7.63195E-06
2018-01-14T12:27:00,-7.59116E-06
2018-01-14T12:28:00,-7.55036E-06
2018-01-14T12:29:00,-7.50957E-06
2018-01-14T12:30:00,-7.46878E-06
2018-01-14T12:31:00,-7.42799E-06
2018-01-14T12:32:00,-7.38719E-06
2018-01-14T12:33:00,-7.3464E-06
2018-01-14T12:34:00,-7.30561E-06
2018-01-14T12:35:00,-7.26482E-06
2018-01-14T12:36:00,-7.22403E-06
2018-01-14T12:37:00,-7.18323E-06
2018-01-14T12:38:00,-7.14244E-06
2018-01-14T12:39:00,-7.10165E-06
2018-01-14T12:40:00,-7.06086E-06
2018-01-14T12:41:00,-7.02006E-06
2018-01-14T12:42:00,-6.97927E-06
2018-01-14T12:43:00,-6.93848E-06
2018-01-14T12:44:00,-6.89769E-06
2018-01-14T12:45:00,-6.8569E-06
2018-01-14T12:46:00,-6.8161E-06
2018-01-14T12:47:00,-6.77531E-06
2018-01-14T12:48:00,0.00252208
2018-01-14T12:49:00,0.016722399
2018-01-14T12:50:00,0.019021897
2018-01-14T12:51:00,0.021398942
2018-01-14T12:52:00,0.024341455
2018-01-14T12:53:00,0.02776119
2018-01-14T12:54:00,0.031225893
2018-01-14T12:55:00,0.034796675
2018-01-14T12:56:00,0.038480446
2018-01-14T12:57:00,0.042439557
2018-01-14T12:58:00,0.046673305
2018-01-14T12:59:00,0.051013163
2018-01-14T13:00:00,0.055480096
2018-01-14T13:01:00,0.06020174
2018-01-14T13:02:00,0.065287439
2018-01-14T13:03:00,0.070336133
2018-01-14T13:04:00,0.075606574
2018-01-14T13:05:00,0.080939792
2018-01-14T13:06:00,0.086271183
2018-01-14T13:07:00,0.092008387
2018-01-14T13:08:00,0.097661672
2018-01-14T13:09:00,0.103195672
2018-01-14T13:10:00,0.10919132
2018-01-14T13:11:00,0.115156991
2018-01-14T13:12:00,0.121186768
2018-01-14T13:13:00,0.127788323
2018-01-14T13:14:00,0.134230522
2018-01-14T13:15:00,0.140890243
2018-01-14T13:16:00,0.147620173
2018-01-14T13:17:00,0.154721741
2018-01-14T13:18:00,0.162073291
2018-01-14T13:19:00,0.169418824
2018-01-14T13:20:00,0.176463613
2018-01-14T13:21:00,0.183582623
2018-01-14T13:22:00,0.19081165
2018-01-14T13:23:00,0.198464784
2018-01-14T13:24:00,0.20546408
2018-01-14T13:25:00,0.212648423
2018-01-14T13:26:00,0.220179383
2018-01-14T13:27:00,0.227833357
2018-01-14T13:28:00,0.235200483
2018-01-14T13:29:00,0.243091233
2018-01-14T13:30:00,0.250489353
2018-01-14T13:31:00,0.258004953
2018-01-14T13:32:00,0.266217853
2018-01-14T13:33:00,0.27328298
2018-01-14T13:34:00,0.280786875
2018-01-14T13:35:00,0.287513278
2018-01-14T13:36:00,0.294627035
2018-01-14T13:37:00,0.301139207
2018-01-14T13:38:00,0.307770189
2018-01-14T13:39:00,0.314467889
2018-01-14T13:40:00,0.321464713
2018-01-14T13:41:00,0.328474146
2018-01-14T13:42:00,0.335887515
2018-01-14T13:43:00,0.343385043
2018-01-14T13:44:00,0.351344109
2018-01-14T13:45:00,0.358966355
2018-01-14T13:46:00,0.36670938
2018-01-14T13:47:00,0.37460752
2018-01-14T13:48:00,0.382708173
2018-01-14T13:49:00,0.390599162
2018-01-14T13:50:00,0.398429428
2018-01-14T13:51:00,0.406727182
2018-01-14T13:52:00,0.414441722
2018-01-14T13:53:00,0.42182375
2018-01-14T13:54:00,0.429655924
2018-01-14T13:55:00,0.437239952
2018-01-14T13:56:00,0.444570861
2018-01-14T13:57:00,0.451741104
2018-01-14T13:58:00,0.459477342
2018-01-14T13:59:00,0.466746865
2018-01-14T14:00:00,0.474336567
2018-01-14T14:01:00,0.481976767
2018-01-14T14:02:00,0.489718596
2018-01-14T14:03:00,0.497477247
2018-01-14T14:04:00,0.504777854
2018-01-14T14:05:00,0.512387837
2018-01-14T14:06:00,0.519751735
2018-01-14T14:07:00,0.526830643
2018-01-14T14:08:00,0.533281121
